Ticker,Last Close Price,Current Price,previous_fast_ma,previous_slow_ma,current_fast_ma,current_slow_ma,Signal
AAPL,273.6600036621094,273.6600036621094,265.8069778442383,254.37786682128908,267.129460144043,255.06011138916017,HOLD (Bullish)
ABNB,121.69499969482422,121.69499969482422,125.06649971008301,123.52140014648438,125.00674972534179,123.44790008544922,HOLD (Bullish)
ADBE,337.03009033203125,337.03009033203125,341.1029983520508,347.18499938964845,341.4930023193359,347.0394012451172,HOLD (Bearish)
ADI,237.46499633789062,237.46499633789062,237.51799926757812,240.9583999633789,237.31074905395508,240.78549987792968,HOLD (Bearish)
ADP,254.0800018310547,254.0800018310547,268.21900100708007,281.9335104370117,266.91500091552734,281.0224371337891,HOLD (Bearish)
ADSK,298.7049865722656,298.7049865722656,303.8244964599609,312.80519897460937,303.7687454223633,312.38069885253907,HOLD (Bearish)
AEP,122.61000061035156,122.61000061035156,118.43172264099121,113.63916748046876,118.73169746398926,113.93556640625,HOLD (Bullish)
AMAT,222.8800048828125,222.8800048828125,230.59300155639647,209.71220062255858,230.35100173950195,211.00500061035157,HOLD (Bullish)
AMD,253.62869262695312,253.62869262695312,246.74999923706054,204.41139953613282,247.70343399047852,206.24817352294923,HOLD (Bullish)
AMGN,341.6195068359375,341.6195068359375,304.6105010986328,292.7346014404297,306.9009765625,293.9649914550781,HOLD (Bullish)
AMZN,239.38540649414062,239.38540649414062,233.27699966430663,228.61359985351564,234.52276992797852,228.68770812988282,HOLD (Bullish)
APP,556.10498046875,556.10498046875,609.3704986572266,612.538598022461,606.891748046875,613.6612976074218,HOLD (Bearish)
ARM,140.60989379882812,140.60989379882812,164.5800003051758,156.405400390625,163.05099487304688,156.50799835205078,HOLD (Bullish)
ASML,1023.010009765625,1023.010009765625,1039.2006042480468,969.0802124023437,1039.4618896484376,974.4984997558594,HOLD (Bullish)
AVGO,335.0899963378906,335.0899963378906,357.2629989624023,348.11365112304685,356.3099990844727,348.7039221191406,HOLD (Bullish)
AXON,571.030029296875,571.030029296875,679.339501953125,709.8178002929687,675.282504272461,706.6352014160157,HOLD (Bearish)
AZN,89.00499725341797,89.00499725341797,83.84350051879883,81.84620010375977,84.102250289917,81.99070007324218,HOLD (Bullish)
BIIB,166.19500732421875,166.19500732421875,151.04249954223633,147.3320004272461,152.23925018310547,147.85710052490234,HOLD (Bullish)
BKNG,5162.7998046875,5162.7998046875,5074.317456054688,5280.8891796875,5084.841943359375,5272.61998046875,HOLD (Bearish)
BKR,48.244998931884766,48.244998931884766,47.2646541595459,47.22790138244629,47.45545845031738,47.270781936645506,HOLD (Bullish)
CCEP,92.8499984741211,92.8499984741211,90.3375,89.55019973754882,90.51599998474121,89.65879974365234,HOLD (Bullish)
CDNS,315.7699890136719,315.7699890136719,332.2000015258789,342.80280029296875,331.7760009765625,342.13160034179685,HOLD (Bearish)
CDW,148.5850067138672,148.5850067138672,151.8765007019043,157.09079986572266,151.75075073242186,156.7375,HOLD (Bearish)
CEG,338.25,338.25,371.69850006103513,353.3106005859375,368.7845001220703,353.89440063476565,HOLD (Bullish)
CHTR,209.0,209.0,234.24749984741212,254.04300018310548,231.93050003051758,253.03279998779297,HOLD (Bearish)
CMCSA,28.155000686645508,28.155000686645508,28.409500122070312,30.241592559814453,28.354250144958495,30.13282398223877,HOLD (Bearish)
COST,921.719970703125,921.719970703125,926.5785919189453,935.2644250488281,926.448974609375,934.6078332519531,HOLD (Bearish)
CPRT,41.61000061035156,41.61000061035156,43.08499946594238,44.80119979858399,42.96249942779541,44.633999786376954,HOLD (Bearish)
CRWD,531.6099853515625,531.6099853515625,529.0054992675781,494.9996002197266,531.4744979858399,497.3826000976562,HOLD (Bullish)
CSCO,77.21499633789062,77.21499633789062,71.61249961853028,69.28623260498047,72.01874961853028,69.47889419555663,HOLD (Bullish)
CSGP,68.84500122070312,68.84500122070312,72.36750030517578,79.34180038452149,72.09225044250488,78.93670043945312,HOLD (Bearish)
CSX,35.10499954223633,35.10499954223633,35.709499740600585,34.79999992370605,35.66524963378906,34.84889991760254,HOLD (Bullish)
CTAS,189.33999633789062,189.33999633789062,187.2959991455078,194.74379913330077,187.54499893188478,194.39379913330077,HOLD (Bearish)
CTSH,74.05999755859375,74.05999755859375,70.51699981689453,69.23080017089843,70.94649963378906,69.28300018310547,HOLD (Bullish)
DASH,198.05999755859375,198.05999755859375,242.16800079345703,256.00879943847656,238.7375,254.9943994140625,HOLD (Bearish)
DDOG,187.9499969482422,187.9499969482422,165.9862503051758,153.5621011352539,167.82525024414062,154.6855010986328,HOLD (Bullish)
DXCM,60.0,60.0,64.20749988555909,68.11920036315918,63.89099979400635,67.70400032043457,HOLD (Bearish)
EA,201.75999450683594,201.75999450683594,200.6349998474121,190.90140045166015,200.70549926757812,191.57600036621093,HOLD (Bullish)
EXC,46.18000030517578,46.18000030517578,46.591414833068846,45.17008247375488,46.5529125213623,45.234385604858396,HOLD (Bullish)
FANG,146.3699951171875,146.3699951171875,142.62599868774413,142.2748001098633,142.9724983215332,142.34739990234374,HOLD (Bullish)
FAST,40.94499969482422,40.94499969482422,41.73013534545898,44.89543975830078,41.69023532867432,44.714139251708986,HOLD (Bearish)
FTNT,82.01000213623047,82.01000213623047,84.32600021362305,83.47120010375977,84.26950035095214,83.58260009765625,HOLD (Bullish)
GEHC,75.18000030517578,75.18000030517578,75.44475364685059,75.1763084411621,75.5364158630371,75.19817993164062,HOLD (Bullish)
GFS,32.97999954223633,32.97999954223633,34.95724964141846,34.31130001068115,34.8774995803833,34.304299964904786,HOLD (Bullish)
GILD,126.75070190429688,126.75070190429688,121.00250015258788,116.8832731628418,121.44753532409668,117.17844177246094,HOLD (Bullish)
