Ticker,Last Close Price,Current Price,previous_fast_ma,previous_slow_ma,current_fast_ma,current_slow_ma,Signal
A,152.1024932861328,152.1024932861328,145.28100051879883,136.24320434570313,145.90362548828125,136.78587310791016,HOLD (Bullish)
AAPL,275.2349853515625,275.2349853515625,264.58840408325193,253.67324798583985,265.8952270507813,254.41316650390624,HOLD (Bullish)
ABBV,233.1699981689453,233.1699981689453,224.23399963378907,222.6499038696289,224.58149948120118,223.10643157958984,HOLD (Bullish)
ABNB,121.5199966430664,121.5199966430664,125.19499969482422,123.58560012817382,125.05799942016601,123.51800003051758,HOLD (Bullish)
ABT,128.45950317382812,128.45950317382812,126.43499870300293,130.21206771850586,126.38547401428222,130.14936141967775,HOLD (Bearish)
ACGL,91.48500061035156,91.48500061035156,87.38650054931641,89.34300048828125,87.48225059509278,89.3147004699707,HOLD (Bearish)
ACN,244.47000122070312,244.47000122070312,245.8,245.05519989013672,246.0379997253418,244.8616000366211,HOLD (Bullish)
ADBE,337.92498779296875,337.92498779296875,340.781999206543,347.41399963378905,341.1467483520508,347.20249938964844,HOLD (Bearish)
ADI,241.30499267578125,241.30499267578125,237.35349884033204,241.02059997558592,237.51124877929686,240.9556997680664,HOLD (Bearish)
ADM,57.775001525878906,57.775001525878906,60.55750007629395,60.98900001525879,60.277250099182126,60.910100021362304,HOLD (Bearish)
ADP,254.47120666503906,254.47120666503906,269.7020004272461,282.7888244628906,268.21506118774414,281.93193450927737,HOLD (Bearish)
ADSK,302.1700134277344,302.1700134277344,303.99149627685546,313.1205993652344,303.8459976196289,312.81379943847656,HOLD (Bearish)
AEE,105.47000122070312,105.47000122070312,103.83999977111816,102.40299209594727,103.8439998626709,102.52818222045899,HOLD (Bullish)
AEP,122.69000244140625,122.69000244140625,118.17785682678223,113.36895111083984,118.43222274780274,113.63936752319336,HOLD (Bullish)
AES,14.114999771118164,14.114999771118164,14.151255130767822,13.647759189605713,14.128763341903687,13.66878086090088,HOLD (Bullish)
AFL,114.54000091552734,114.54000091552734,108.99599952697754,109.3081999206543,109.23249969482421,109.46419998168945,HOLD (Bearish)
AIG,77.72000122070312,77.72000122070312,78.17999992370605,78.86038772583008,78.00299987792968,78.79749130249023,HOLD (Bearish)
AIZ,226.66000366210938,226.66000366210938,213.7690002441406,214.1659997558594,214.3595001220703,214.4013998413086,HOLD (Bearish)
AJG,255.69500732421875,255.69500732421875,266.2705017089844,287.4812481689453,264.2472518920898,286.5342987060547,HOLD (Bearish)
AKAM,89.66999816894531,89.66999816894531,76.07350006103516,76.3611996459961,76.87350006103516,76.60339965820313,BUY (Golden Cross)
ALB,109.62079620361328,109.62079620361328,96.38050003051758,88.91790130615234,96.95353965759277,89.51676330566406,HOLD (Bullish)
ALGN,142.36500549316406,142.36500549316406,135.31849899291993,132.66959899902344,136.01524963378907,132.8698989868164,HOLD (Bullish)
ALL,208.2550048828125,208.2550048828125,195.56999969482422,201.95439971923827,195.96175003051758,202.02809967041014,HOLD (Bearish)
ALLE,167.34249877929688,167.34249877929688,170.16450119018555,173.21320007324218,169.66762619018556,173.20625,HOLD (Bearish)
AMAT,231.22000122070312,231.22000122070312,230.43550186157228,208.2226007080078,230.61750183105468,209.72200073242186,HOLD (Bullish)
AMCR,8.425000190734863,8.425000190734863,8.139500069618226,8.153000040054321,8.158250069618225,8.154500036239623,BUY (Golden Cross)
AMD,255.1199951171875,255.1199951171875,245.73549880981446,202.4761993408203,246.56149826049804,204.3359991455078,HOLD (Bullish)
AME,198.14999389648438,198.14999389648438,191.66000061035157,188.3610659790039,192.27850036621095,188.64308349609374,HOLD (Bullish)
AMGN,336.5150146484375,336.5150146484375,302.6625015258789,291.6860015869141,304.6222518920898,292.7393017578125,HOLD (Bullish)
AMP,471.2449951171875,471.2449951171875,466.6669982910156,481.19596496582034,466.2491882324219,480.5120391845703,HOLD (Bearish)
AMT,183.77999877929688,183.77999877929688,184.90899887084962,188.5954977416992,184.59649887084962,188.38019653320313,HOLD (Bearish)
AMZN,245.58799743652344,245.58799743652344,231.84550018310546,228.24940002441406,233.3463996887207,228.64135986328125,HOLD (Bullish)
